task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	56/e52338	33306730	fastcat (9)	COMPLETED	0	2024-04-16 14:24:30.110	1m 31s	2s	46.1%	8.3 MB	66.1 MB	37 MB	27.4 MB
16	4a/15a139	33306733	fastcat (12)	COMPLETED	0	2024-04-16 14:24:30.516	1m 31s	2.2s	43.5%	11.7 MB	25.2 MB	39.4 MB	28.8 MB
20	f8/bf87c3	33306737	fastcat (16)	COMPLETED	0	2024-04-16 14:24:31.161	1m 30s	4s	57.5%	11.8 MB	757.8 MB	100.5 MB	79.7 MB
26	41/c7ca98	33306743	fastcat (22)	COMPLETED	0	2024-04-16 14:24:31.650	1m 29s	4.4s	64.9%	11.8 MB	25.3 MB	132.5 MB	104.7 MB
28	85/198a0e	33306746	fastcat (24)	COMPLETED	0	2024-04-16 14:24:31.970	1m 29s	4.8s	63.1%	11.8 MB	1.4 GB	142.7 MB	113.2 MB
31	56/abdc17	33306747	fastcat (27)	COMPLETED	0	2024-04-16 14:24:32.043	1m 29s	3s	52.2%	11.5 MB	66.2 MB	72.2 MB	59.3 MB
38	75/3f0527	33306755	fastcat (34)	COMPLETED	0	2024-04-16 14:24:35.894	1m 25s	2.5s	25.8%	20.5 MB	1.4 GB	16.8 MB	4.9 MB
45	cb/1f83b4	33306761	fastcat (41)	COMPLETED	0	2024-04-16 14:24:41.484	1m 20s	2.8s	53.1%	11.8 MB	757.8 MB	70.3 MB	57.4 MB
11	cd/624b17	33306727	fastcat (7)	COMPLETED	0	2024-04-16 14:24:29.703	1m 36s	7.7s	58.3%	20.5 MB	1.4 GB	208.6 MB	152 MB
22	a1/47e23d	33306738	fastcat (18)	COMPLETED	0	2024-04-16 14:24:31.252	1m 35s	6s	58.8%	11.9 MB	757.8 MB	166.6 MB	132 MB
35	0d/5cbcc1	33306751	fastcat (31)	COMPLETED	0	2024-04-16 14:24:32.379	1m 34s	5s	58.8%	11.4 MB	66.2 MB	148 MB	114.2 MB
40	61/cf1336	33306757	fastcat (36)	COMPLETED	0	2024-04-16 14:24:37.087	1m 29s	6.4s	21.5%	19.9 MB	1.4 GB	60 MB	48.4 MB
10	ec/798e11	33306728	fastcat (6)	COMPLETED	0	2024-04-16 14:24:29.826	1m 41s	10.3s	20.3%	13.8 MB	1.4 GB	98 MB	80.4 MB
